"ID","GOODS_TITLE","GOODS_PID","GOODS_PRICE","GOODS_IMG","GOODS_SALE","GOODS_URL"
"61","香港直发 YSL圣罗兰口红迷魅亮彩滋润圆管唇膏 32/13/7/9","40090197405","229.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2030131140/TB1aOhLilDH8KJjy1zeXXXjepXa_!!0-item_pic.jpg","1937人付款","https://detail.tmall.com/item.htm?id=40090197405"
"62","【直营】Christian Louboutin萝卜丁口红女王权杖口红唇膏 CL口红","547413488856","798.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2549841410/TB26rqHcLal9eJjSZFzXXaITVXa_!!2549841410-0-sm.jpg","1349人付款","https://detail.tmall.com/item.htm?id=547413488856"
"63","【直营】TOM FORD汤姆福特黑金黑管唇膏口红 tf口红 8 9 10 15 16","548916330692","389.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB1agS1cJnJ8KJjSszdXXaxuFXa_!!0-item_pic.jpg","1474人付款","https://detail.tmall.com/item.htm?id=548916330692"
"64","2017圣诞限量Givenchy 纪梵希小羊皮口红唇膏304/306/315/305/307","40944734611","212.85","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/118982956/TB2P_h_gQfb_uJjSsrbXXb6bVXa_!!118982956.jpg","1941人付款","https://detail.tmall.com/item.htm?id=40944734611"
"65","专柜正品迪奥烈艳蓝金唇膏口红999哑光888滋润028/520豆沙567/0","36940398776","227.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1xSNBh_nI8KJjy0FfXXcdoVXa_!!0-item_pic.jpg","3970人付款","https://detail.tmall.com/item.htm?id=36940398776"
"66","阿玛尼唇釉红管Armani丝绒哑光口红405/504/501/400/402/408/301","37301125475","195.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/118982956/TB2Z.jJh_nI8KJjSszgXXc8ApXa_!!118982956.jpg","1847人付款","https://detail.tmall.com/item.htm?id=37301125475"
"67","专柜迪奥变色磨砂唇膏粉漾魅惑润唇蜜口红保湿滋润001/004/005","19219640853","205.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1jIYdcJLO8KJjSZPcXXaV0FXa_!!0-item_pic.jpg","2719人付款","https://detail.tmall.com/item.htm?id=19219640853"
"68","正品迪奥变色磨砂润唇膏滋润粉漾魅惑口红橘色001 004 005 006","13034369674","185.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/144939/TB2l198iBHH8KJjy0FbXXcqlpXa_!!144939.jpg","3205人付款","https://detail.tmall.com/item.htm?id=13034369674"
"69","阿玛尼哑光口红红管黑管唇釉不脱色400#500#501#504#402#505#401","532612318288","215.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/89124828/TB2HZoecjgy_uJjSZJnXXbuOXXa_!!89124828.jpg","2801人付款","https://detail.tmall.com/item.htm?id=532612318288"
"70","YSL圣罗兰镜光黑管唇釉 镜面纯色唇彩唇蜜持久润色液体唇膏口红12","43487357034","219.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2030131140/TB1FvlxcGzB9uJjSZFMXXXq4XXa_!!0-item_pic.jpg","1251人付款","https://detail.tmall.com/item.htm?id=43487357034"
"71","正品Tom Ford/汤姆福特黑金黑管TF口红2g3g 06/16/08/15#保湿唇膏","556099255879","269.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1919417699/TB1KaeUisjI8KJjSsppXXXbyVXa_!!0-item_pic.jpg","2053人付款","https://detail.tmall.com/item.htm?id=556099255879"
"72","Tom Ford TF口红汤姆福特限量白管黑管5 16 10 07 7 15 9 05 44 8","526403714489","265.20","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/814394550/TB1WHQTb6gy_uJjSZTEXXcYkFXa_!!0-item_pic.jpg","2099人付款","https://detail.tmall.com/item.htm?id=526403714489"
"73","代购YSL/圣罗兰口红2017烟火烟花圣诞限量方管唇膏1#13#52号 现货","561924380483","258.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/272694386/TB2cs06a6gy_uJjSZTEXXcYkFXa_!!272694386.jpg","1069人付款","https://detail.tmall.com/item.htm?id=561924380483"
"74","Chanel/香奈儿炫亮魅力唇膏3.5g 丝绒口红 打造性感美唇42 43 58","44402438999","238.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/840820568/TB12YpOc2jM8KJjSZFyXXXdzVXa_!!0-item_pic.jpg","1957人付款","https://detail.tmall.com/item.htm?id=44402438999"
"75","Dior/迪奥口红烈艳蓝金唇膏999/520/888哑光滋润豆沙色圣诞礼物","37828059959","219.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1700514728/TB1Lh3shZrI8KJjy0FhXXbfnpXa_!!0-item_pic.jpg","2071人付款","https://detail.tmall.com/item.htm?id=37828059959"
"76","Chanel/香奈儿炫亮魅力口红丝绒唇膏3.5g持久保湿 42/43/58正品","561483092806","188.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3337568912/TB2SsXnclTH8KJjy0FiXXcRsXXa_!!3337568912.jpg","1391人付款","https://detail.tmall.com/item.htm?id=561483092806"
"77","圣罗兰YSL口红唇膏不脱色姨妈色补水滋润斩男色方管圆管正品","557609559420","198.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/3371742146/TB2XpZef3fH8KJjy1zcXXcTzpXa_!!3371742146.jpg","2077人付款","https://detail.tmall.com/item.htm?id=557609559420"
"78","ysl圣罗兰方管圆管口红唇膏52/17/13/1/正品豆沙滋润持久保湿咬唇","40388958728","229.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/144939/TB2sg5LiMLD8KJjSszeXXaGRpXa_!!144939.jpg","1546人付款","https://detail.tmall.com/item.htm?id=40388958728"
"79","传奇今生红樱桃唇膏正品专柜legend age润唇膏健康变色口红","561096043060","188.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/750267319/TB2mreNaMvD8KJjSsplXXaIEFXa_!!750267319.jpg","2504人付款","https://detail.tmall.com/item.htm?id=561096043060"
"80","现货正品CHANEL香奈儿口红2017圣诞限量版红管N1N2N3N4/43/58/172","562605918344","180.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2147360282/TB2fyLhc1LM8KJjSZFqXXa7.FXa_!!2147360282.jpg","1257人付款","https://detail.tmall.com/item.htm?id=562605918344"
